Wavelength; ‡Ì‡Î ¿—¬Œƒ 0; ‡Ì‡Î ¿—¬Œƒ 1; ‡Ì‡Î ¿—¬Œƒ 2
1503.828979;-46.236000;-49.704000;-46.718000
1503.836670;-46.218000;-49.660000;-46.712000
1503.844238;-46.242000;-49.594000;-46.692000
1503.851929;-46.304000;-49.558000;-46.680000
1503.859497;-46.332000;-49.550000;-46.676000
1503.867065;-46.336000;-49.572000;-46.678000
1503.874756;-46.342000;-49.600000;-46.666000
1503.882324;-46.318000;-49.640000;-46.680000
1503.890015;-46.320000;-49.666000;-46.680000
1503.897583;-46.340000;-49.636000;-46.656000
1503.905151;-46.348000;-49.600000;-46.624000
1503.912842;-46.384000;-49.582000;-46.612000
1503.920410;-46.440000;-49.558000;-46.582000
1503.928101;-46.438000;-49.524000;-46.552000
1503.935669;-46.400000;-49.536000;-46.538000
1503.943359;-46.348000;-49.556000;-46.566000
1503.950928;-46.280000;-49.604000;-46.558000
1503.958496;-46.252000;-49.668000;-46.572000
1503.966187;-46.270000;-49.726000;-46.610000
1503.973755;-46.282000;-49.738000;-46.626000
1503.981445;-46.308000;-49.706000;-46.622000
1503.989014;-46.312000;-49.648000;-46.642000
1503.996704;-46.290000;-49.572000;-46.628000
1504.004272;-46.280000;-49.496000;-46.594000
1504.011841;-46.292000;-49.432000;-46.598000
1504.019531;-46.352000;-49.378000;-46.572000
1504.027100;-46.362000;-49.374000;-46.582000
1504.034790;-46.388000;-49.404000;-46.622000
1504.042358;-46.402000;-49.420000;-46.648000
1504.050049;-46.414000;-49.460000;-46.654000
1504.057617;-46.386000;-49.518000;-46.684000
1504.065186;-46.420000;-49.538000;-46.648000
1504.072876;-46.414000;-49.518000;-46.624000
1504.080444;-46.408000;-49.546000;-46.614000
1504.088135;-46.382000;-49.568000;-46.578000
1504.095703;-46.362000;-49.570000;-46.540000
1504.103394;-46.340000;-49.560000;-46.554000
1504.110962;-46.334000;-49.572000;-46.544000
1504.118530;-46.290000;-49.584000;-46.514000
1504.126221;-46.296000;-49.586000;-46.490000
1504.133789;-46.332000;-49.596000;-46.446000
1504.141479;-46.356000;-49.588000;-46.362000
1504.149048;-46.378000;-49.558000;-46.294000
1504.156616;-46.458000;-49.526000;-46.264000
1504.164307;-46.470000;-49.484000;-46.244000
1504.171997;-46.440000;-49.446000;-46.226000
1504.179688;-46.410000;-49.460000;-46.244000
1504.187378;-46.410000;-49.482000;-46.254000
1504.194946;-46.364000;-49.454000;-46.294000
1504.202637;-46.354000;-49.442000;-46.332000
1504.210327;-46.310000;-49.446000;-46.402000
1504.218018;-46.302000;-49.430000;-46.458000
1504.225708;-46.270000;-49.426000;-46.496000
1504.233398;-46.242000;-49.470000;-46.510000
1504.240967;-46.228000;-49.540000;-46.516000
1504.248657;-46.242000;-49.614000;-46.510000
1504.256348;-46.230000;-49.720000;-46.488000
1504.264038;-46.186000;-49.800000;-46.500000
1504.271729;-46.236000;-49.838000;-46.456000
1504.279419;-46.230000;-49.828000;-46.460000
1504.286987;-46.252000;-49.786000;-46.458000
1504.294678;-46.316000;-49.676000;-46.452000
1504.302368;-46.388000;-49.594000;-46.448000
1504.310059;-46.370000;-49.502000;-46.446000
1504.317749;-46.382000;-49.446000;-46.402000
1504.325439;-46.418000;-49.364000;-46.338000
